id,unit,variant,english,english_alt_response,variant_text,variant_pronunciation,variant_alt_response,Speaker,audioKey,context_badge,extra_yes_or_no,extra_details,link
u10_w0014,u10,kv,cousin (male),,kouzin,,,Alexandre Leblanc,u10_w0014_kreole,,,,
u10_w0015,u10,kv,kouzinn (female),,kouzinn,,,Taalib,u10_w0015_kreole,,,,
u10_w0016,u10,kv,the man ,,nonm-la,,,Daniele Simpson,u10_w0016_kreole,,,,
u10_w0017,u10,kv,the woman ,,fenm-la,,,Jermaine,u10_w0017_kreole,,,,
u10_w0018,u10,kv,girl,daughter,fiy,,,Taalib,u10_w0018_kreole,,,,
u10_w0019,u10,kv,boy,son,garson ,,,Jermaine,u10_w0019_kreole,,,,
u10_w0020,u10,kv,His brother is not tall,,Sô frè pa gran,,,Chaoui Leblanc,u10_w0020_kreole,,,,
u10_w0021,u10,kv,Her cousin doesn't speak,,Sô kouzinn parl pa,,,Taalib,u10_w0021_kreole,,,,
u10_w0022,u10,kv,My cat doesn't know how to cook,,Mô sha pa konné kwi,,,Taalib,u10_w0022_kreole,,,,
u10_w0023,u10,kv,Your grandmother did not want us to go,,Tô gran-moman té p'olé nou kouri,,,,u10_w0023_kreole,,,,
u10_w0024,u10,kv,The man should not do that,,Nonm-la sé pa fé ça,,,,u10_w0024_kreole,,,,
u10_w0025,u10,kv,I will never tell you a lie,,M'a jamé di twa in menti ,,,,u10_w0025_kreole,,,,
u11_w0001,u11,kv,They don't want to watch the tv,,Yé p'olé gété télévizyon-la,,,Taalib,u11_w0001_kreole,,,pa + olé,
u11_w0002,u11,kv,"No, it's not hot for me ",,"Non, çé pa sho pou mò",,,Chaoui Leblanc,u11_w0002_kreole,,,,
u11_w0003,u11,kv,Women ,,fenm-yé,,,Jermaine,u11_w0003_kreole,,,,
u11_w0004,u11,kv,The children ,,piti-layé,,,Jermaine,u11_w0004_kreole,,,,
u11_w0005,u11,kv,this dog,,shyin-çila,,,Jermaine,u11_w0005_kreole,,,,
u11_w0006,u11,kv,That boy ,,garson-çála ,,,Daniele Simpson,u11_w0006_kreole,,,,
u11_w0007,u11,kv,These girls ,,fiy-çilayé,,,Daniele Simpson,u11_w0007_kreole,,,,
u11_w0008,u11,kv,Those men,,nonm-çálayé,,,Daniele Simpson,u11_w0008_kreole,,,,
u11_w0009,u11,kv,It's hot (weather),,Ça fé sho,,,Alexandre Leblanc,u11_w0009_kreole,,,,
u11_w0010,u11,kv,It's cold (weather),,Ça fé frèt,,,Alexandre Leblanc,u11_w0010_kreole,,,,
u11_w0011,u11,kv,to wet ,,mouyé,,,Chaoui Leblanc,u11_w0011_kreole,,,,
u11_w0012,u11,kv,It's raining ,,Ç'ap mouyé,,Lapli ap tombé,Daniele Simpson,u11_w0012_kreole,,,,
u11_w0013,u11,kv,He will not speak,,li va pa parlé,,,Lauren Richard,u11_w0013_kreole,,,va + pa + verb,
u11_w0014,u11,kv,You're not going to dance?,,To p'alé dansé?,,,Lauren Richard,u11_w0014_kreole,,,pa + alé + verb,
u11_w0015,u11,kv,We are not drinking,,Nou p'apé bwa,,,Lauren Richard,u11_w0015_kreole,,,,
u11_w0016,u11,kv,They were not watching that,,Yé té p'ap gété ça,,,Daniele Simpson,u11_w0016_kreole,,,té + pa + apé + verb ,
u11_w0017,u11,kv,The man doesn't have money,,Nonm-la pa gin larjen ,,,Chaoui Leblanc,u11_w0017_kreole,,,,
